AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2014;CAS-10978-N1P5S1;2;1;20140129;1;1;20140320;13;2;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;7150586;0;2;PADRE/MADRE/TUTOR;6294458;26268;COLEGIO SAINT LOUIS SCHOOL;13;131;13119;MAIPÚ;3;3;2;13
2014;CAS-10979-B9D3B9;2;1;20140129;1;1;20140901;13;3;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO REALIZA PROCESO DE ADMISIÓN DISCRIMINATORIO A ESTUDIANTE O PÁRVULO;4753836;1;2;PADRE/MADRE/TUTOR;4753836;25718;COLEGIO PART. LOS ANGELES SANTIAGO DE SAN MIG;13;131;13130;SAN MIGUEL;3;3;2;13
2014;CAS-10980-R3N0M6;2;1;20140129;1;1;20140311;6;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;1668467;0;2;PADRE/MADRE/TUTOR;7703282;2336;ESCUELA EL LIBERTADOR;6;61;6117;SAN VICENTE;1;1;2;6
2014;CAS-10981-T1B6W5;2;1;20140129;1;1;20140131;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;4753836;1;2;PADRE/MADRE/TUTOR;4753836;12137;COLEGIO LOS ANGELES SANTIAGO;13;131;13130;SAN MIGUEL;4;4;2;13
2014;CAS-10982-Y5T1V5;2;1;20140130;1;1;20140131;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;4753836;1;2;PADRE/MADRE/TUTOR;4753836;24647;ESCUELA BASICA N°1436 COLEGIO IBEROAMERICANO;13;131;13108;INDEPENDENCIA;4;4;2;13
2014;CAS-10983-G9Z2Z0;2;1;20140130;1;1;20140131;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;4753836;1;2;PADRE/MADRE/TUTOR;4753836;24647;ESCUELA BASICA N°1436 COLEGIO IBEROAMERICANO;13;131;13108;INDEPENDENCIA;4;4;2;13
2014;CAS-10984-W8X0N5;2;1;20140130;1;1;20140321;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);4753836;1;2;PADRE/MADRE/TUTOR;4753836;24647;ESCUELA BASICA N°1436 COLEGIO IBEROAMERICANO;13;131;13108;INDEPENDENCIA;4;4;2;13
2014;CAS-10985-V3P3J8;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11451049;0;2;PADRE/MADRE/TUTOR;24921699;144;COLEGIO IQUIQUE YOUNG SCHOOL;1;11;1101;IQUIQUE;3;3;5;1
2014;CAS-10987-J1J2W8;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;SUSPENSIÓN DE CLASES A PÁRVULO Y/O ESTUDIANTE;10938049;0;2;PADRE/MADRE/TUTOR;21439861;12594;COLEGIO ANTAMARA;1;11;1101;IQUIQUE;3;3;5;1
2014;CAS-10989-Y3S5H1;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;22056717;0;2; ;3105329;130;COLEGIO NORTH COLLEGE;1;11;1101;IQUIQUE;3;3;5;1
