AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2016;CAS-50619-K6C9S8;1;1;20160104;1;1;20160317;13;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR ORIENTACIÓN SEXUAL; ; ; ;9115258;0;2;APODERADO/A;3862136;2;24885;COLEGIO KING SCHOOL CORDILLERA;13;131;13112;LA PINTANA;3;3;7;13; 
2016;CAS-50622-G3W4B1;1;1;20160104;1;1;20161207;6;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;6367560;0;2;APODERADO/A;15459804;2;2123;INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS;6;61;6101;RANCAGUA;1;1;7;6; 
2016;CAS-50624-K6H0B0;1;1;20160104;1;1;20160119;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;1583919;0;2;APODERADO/A;24051120;1;12650;COLEGIO SAGRADO CORAZON DE JESUS;1;11;1107;ALTO HOSPICIO;3;3;7;1; 
2016;CAS-50628-H5B6R2;2;1;20160104;1;1;20160328;6;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;20144584;0;2;ESTUDIANTE;584634;1;2455;COLEGIO INMACULADA CONCEPCION;6;63;6301;SAN FERNANDO;3;3;5;6; 
2016;CAS-50629-W2R6S4;2;1;20160104;1;1;20160105;5;1;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;18673164;1;2;DOCENTE;18673164;2;40367;ESCUELA ESPECIAL DE LENGUAJE ARREBOL;5;54;5401;LA LIGUA;3;3;4;5; 
2016;CAS-50630-L3L8K8;1;1;20160104;1;1;20160118;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;16993443;0;2;OTRO MIEMBRO DE LA COMUNIDAD;1737396;1;8552;ESCUELA BAS SALVADOR SANFUENTES REP EEUU;13;131;13101;SANTIAGO;2;1;2;13; 
2016;CAS-50632-L8P7T2;2;1;20160104;1;1;20160113;4;1;MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA;ÚTILES, UNIFORME Y TEXTOS ESCOLARES;ESTABLECIMIENTO EDUCACIONAL OBLIGA O EXIGE LA COMPRA DE TEXTOS ESCOLARES COMPLEMENTARIOS Y/O MATERIALES DE ASEO U OFICINA; ; ; ;4711526;1;2;PADRE/MADRE/TUTOR;4711526;2;13313;COLEGIO FRANCIS SCHOOL;4;41;4102;COQUIMBO;3;3;2;4; 
2016;CAS-50633-Q1Z3Q0;1;1;20160104;1;1;20160122;4;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;10414508;0;2;PADRE/MADRE/TUTOR;4748379;2;1013;LICEO DE SALAMANCA;4;42;4204;SALAMANCA;2;1;5;4;0
2016;CAS-50634-K3X2Y2;1;1;20160104;1;1;20160413;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;17422922;0;2;PADRE/MADRE/TUTOR;8566600;2;1742;COLEGIO SAN AGUSTIN;5;51;5109;VIÑA DEL MAR;3;3;5;5; 
2016;CAS-50635-F3W9D4;1;1;20160104;1;1;20160405;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;18455277;0;2;APODERADO/A;3379846;2;5084;LICEO POLIVALENTE MARIANO LATORRE;8;82;8205;CURANILAHUE;2;1;5;8; 
