AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2015;CAS-30804-R3X9L6;1;1;20150105;1;1;20150120;15;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;17415909;1;2;DIRECTOR(A);17415909;0;30003;COLEGIO JUAN PABLO II;15;151;15101;ARICA;3;3;5;15
2015;CAS-30806-T2N7J6;1;1;20150105;1;1;20150508;6;2;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;9211342;0;2; ;3008686;0;2207;ESCUELA HERNAN OLGUIN MAYBE;6;61;6106;GRANEROS;2;1;2;6
2015;CAS-30814-R3R8N1;1;1;20150105;1;1;20150114;3;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS);12902138;0;2; ;1112963;0;411;ESCUELA LAS CANTERAS;3;31;3101;COPIAPÓ;2;1;2;3
2015;CAS-30816-G4Y1G8;1;1;20150105;1;1;20150408;10;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS);1172017;0;2; ;23506082;0;7967;ESCUELA RURAL COLEGUAL;10;101;10107;LLANQUIHUE;2;1;2;10
2015;CAS-30818-W4M4K0;1;1;20150105;1;1;20150105;8;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES;17079872;0;2;PADRE/MADRE/TUTOR;4570919;0;4790;COLEGIO MONTANER DE HUALPEN;8;81;8112;HUALPÉN;3;3;2;8
2015;CAS-30819-H9Q5X7;1;1;20150105;1;1;20150120;13;2;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;6446666;0;2;APODERADO/A;18279874;0;2583;LICEO DE LOLOL;6;63;6304;LOLOL;2;1;5;6
2015;CAS-30820-N2Q3T4;1;1;20150105;1;1;20150310;12;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;21367689;0;1;PADRE/MADRE/TUTOR;4318765;0;24338;COLEGIO LUTERANO;12;121;12101;PUNTA ARENAS;3;3;2;12
2015;CAS-30822-Q5M0M7;1;1;20150105;1;1;20150722;5;3;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;1535496;1;2;PADRE/MADRE/TUTOR;1535496;0;14606;COLEGIO PUERTO PAZ;5;51;5101;VALPARAÍSO;3;3;2;5
2015;CAS-30825-W5H9K5;1;1;20150105;1;1;20150401;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;8657853;1;2;APODERADO/A;8657853;0;18147;COLEGIO EDUCA BIOBÍO;8;81;8108;SAN PEDRO DE LA PAZ;3;3;2;8
2015;CAS-30828-Q0R0P0;2;1;20150105;1;1;20150310;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;18941819;0;2; ;5170127;0;9185;LICEO SALESIANO CAMILO ORTUZAR MONTT;13;131;13118;MACUL;3;3;5;13
2015;CAS-30829-Z2G5C4;1;1;20150105;1;1;20150331;4;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS);22837906;0;2;PADRE/MADRE/TUTOR;19835929;0;11145;COLEGIO PARTICULAR CALASANZ;4;41;4102;COQUIMBO;3;3;1;4
2015;CAS-30830-M5C3J6;1;1;20150105;1;1;20150109;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);21628275;0;2;PADRE/MADRE/TUTOR;22396950;0;10527;ESCUELA JULIETA BECERRA ALVAREZ;13;132;13203;SAN JOSÉ DE MAIPO;1;1;2;13
