AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;AFEC_TIPO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2021;CAS-01785-C7W2H2;1;1;20211029;10;4;20211108;5;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;22467518;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);11738221;1;ESTUDIANTE;1585;100629;LICEO COEDUCACIONAL LA IGUALDAD;5;51;5101;VALPARAÍSO;3;3;2;5; 
2021;CAS-01787-K6G0F9;2;1;20211029;10;4;20211115;13;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR OTROS MOTIVOS; ; ; ;22312494;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);22312494;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25749;106776;COLEGIO PART. ALICANTE DEL ROSAL;13;131;13119;MAIPÚ;3;3;5;13; 
2021;CAS-01788-M4N7K8;2;1;20211029;10;4;20211117;4;1;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;IRREGULARIDADES EN EL COBRO DE MENSUALIDADES Y/O COLEGIATURA; ; ; ;8048453;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);8048453;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);13313;104332;COLEGIO FRANCIS SCHOOL;4;41;4102;COQUIMBO;3;3;0;4; 
2021;CAS-01789-F3X4B8;2;1;20211029;10;4;20211123;13;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO ASEGURA CONTINUIDAD EDUCATIVA DEL PÁRVULO Y/O ESTUDIANTE POR REDUCCIÓN DE CURSOS O FALTA DE CUPOS; ; ; ;2445690;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25527664;1;ESTUDIANTE;31329;107460;ESCUELA DE  LENGUAJE HELLO CHILDREN;13;131;13106;ESTACIÓN CENTRAL;3;3;1;13; 
2021;CAS-01790-Y7X6T7;1;1;20211029;10;4;20211112;5;1;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES; ; ; ;19000631;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);26274020;1;ESTUDIANTE;33427;109239;SAUCE DE LUZ;5;51;5101;VALPARAÍSO;8;6;1;5; 
2021;CAS-01792-Q0Y6W2;1;1;20211029;10;4;20211122;7;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR OTROS MOTIVOS; ; ; ;1960618;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);17082719;2;ESTUDIANTE;2935; ;LICEO MARTA DONOSO ESPEJO;7;71;7101;TALCA;2;1;5;7; 
2021;CAS-01793-X7T5M4;1;1;20211029;10;4;20220120;16;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS); ; ; ;14727098;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);21933951;1;ESTUDIANTE;3664;101488;ESCUELA BASICA EL TEJAR;16;161;16101;CHILLÁN;2;1;2;16; 
2021;CAS-01796-G3M8Z7;2;1;20211029;10;4;20211129;10;1;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES; ; ; ;8199654;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);19882237;1;ESTUDIANTE;40316;107739;COLEGIO PUMANQUE;10;101;10101;PUERTO MONTT;3;3;5;10; 
2021;CAS-01797-V6C0F1;2;1;20211101;11;4;20220526;13;2;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;IRREGULARIDADES EN LA APLICACIÓN DE LOS PROTOCOLOS DURANTE LA EMERGENCIA SANITARIA (PROTOCOLO DE LIMPIEZA Y DESINFECCIÓN, DE MEDIDAS SANITARIAS Y DE ACTUACIÓN FRENTE CASOS DE SOSPECHA O CONFIRMACIÓN DE CONTAGIO DE COVID-19);221300569;221301098; ;19416883;1;1;DOCENTE;19416883;1;DOCENTE;26503;107221;COLEGIO SAINT LOUIS SCHOOL;13;133;13303;TILTIL;3;3;5;13; 
2021;CAS-01802-P3N6S8;2;1;20211101;11;4;20211117;5;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;CERTIFICACIONES QUE AUTORIZAN EL FUNCIONAMIENTO DEL ESTABLECIMIENTO;FALTA DE CERTIFICACIONES QUE AUTORIZAN EL FUNCIONAMIENTO DEL ESTABLECIMIENTO (EJ. RECEPCIÓN FINAL DE OBRAS, INFORME SANITARIO, CERTIFICACIONES VARIAS); ; ; ;19261643;1;1;OTRO TIPO DE CIUDADANO(A);19261643;1;OTRO TIPO DE CIUDADANO(A); ;122669;NIÑOS FELICES MONTESSORI;5;51;5101;VALPARAÍSO;11;6;1;5; 
