AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2017;CAS-70531-F7S9N3;2;1;20170103;1;1;20170111;3;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;4036333;0;1;ESTUDIANTE;14329004;1;13156; ;LICEO TECNICO PROFESIONAL HEROES DE ATACAMA;3;31;3101;COPIAPÓ;3;3;7;3; 
2017;CAS-70533-C3W0R9;1;1;20170103;1;1;20170322;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;8541546;0;2;APODERADO/A;16921509;2;4595; ;ESCUELA ENRIQUE SORO BARRIGA;8;81;8108;SAN PEDRO DE LA PAZ;2;1;2;8;0
2017;CAS-70534-P7P5F3;1;1;20170103;1;1;20170109;13;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;PERSONAL DEL ESTABLECIMIENTO EDUCATIVO;FALTA O AUSENCIA DEL PERSONAL DEL ESTABLECIMIENTO; ; ; ;1609960;1;2;DOCENTE;1609960;2;11809; ;ESC.PAR.MAURICE AND NATALY SCHOOL;13;131;13131;SAN RAMÓN;3;3;1;13; 
2017;CAS-70538-G5T5C2;2;1;20170103;1;1;20180418;13;3;MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA;ÚTILES, UNIFORME Y TEXTOS ESCOLARES;EXIGENCIA DE ÚTILES DE UNA DETERMINADA MARCA Y/O PROVEEDOR;171302029; ;171302029;857626;0;2;APODERADO/A;10435817;1;10032; ;ESCUELA BASICA PARTICULAR  Nº 488 `ZENON TORREALBA`;13;131;13126;QUINTA NORMAL;3;3;1;13; 
2017;CAS-70541-G9V2D3;1;1;20170103;1;1;20170106;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES; ; ; ;1098206;1;2;APODERADO/A;1098206;2;10361; ;ESCUELA PARTICULAR ZOLTAN DIENES;13;131;13104;CONCHALÍ;3;3;2;13; 
2017;CAS-70544-J9N4R8;1;1;20170103;1;1;20170113;11;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;25846131;1;1;DIRECTOR REGIONAL (SIE);25846131;0;8374; ;ESCUELA  DESPERTAR;11;112;11201;AYSÉN;2;1;4;11; 
2017;CAS-70546-K3G8C8;1;1;20170103;1;1;20170714;13;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;171300798; ;171300798;14272121;0;2;APODERADO/A;12713532;1;8507; ;LICEO COMERCIAL JOAQUIN VERA MORALES;13;131;13101;SANTIAGO;5;5;7;13; 
2017;CAS-70547-R7J4N3;1;1;20170103;1;1;20170428;15;2;CONVIVENCIA;INSTANCIAS DE PARTICIPACIÓN DE LA COMUNIDAD EDUCATIVA (CCAA, CCPA, CONSEJOS ESCOLARES, CONSEJO DE PROFESORES, APODERADOS/AS);IRREGULARIDADES EN EL ACCESO A LA INFORMACIÓN Y/O PARTICIPACIÓN DE LOS PADRES Y/O APODERADOS EN EL PROCESO EDUCATIVO DE LOS PÁRVULOS Y/O ESTUDIANTES (REUNIONES, ACTIVIDADES, ENTRE OTRAS INSTANCIAS);171500094; ; ;10923914;0;1;APODERADO/A;8592469;2;52; ;LICEO DOMINGO SANTA MARIA;15;151;15101;ARICA;3;3;5;15; 
2017;CAS-70550-C2G4K2;1;1;20170103;1;1;20170821;10;3;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO REALIZA PROCESO DE ADMISIÓN DISCRIMINATORIO A ESTUDIANTE O PÁRVULO; ; ; ;2109246;1;1;APODERADO/A;2109246;2;7644; ;ESCUELA BASICA SANTA INES;10;101;10101;PUERTO MONTT;2;1;0;10; 
2017;CAS-70556-M2K0X5;2;1;20170103;1;1;20170727;6;3;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;20304962;1;2;SOSTENEDOR(A);20304962;2;2456; ;ESCUELA OLEGARIO LAZO BAEZA;6;63;6301;SAN FERNANDO;1;1;2;6; 
